,author,date,filename,gender,nationality,title,words,modernist
0,Frances Burnett,1881,1881 a fair barbarian.txt,f,a,A Fair Barbarian,41718.0,n
1,Mrs. Humphrey Ward,1881,1881 milly and olly.txt,f,b,Milly and Olly,47903.0,n
2,Robert Louis Stevenson,1881,1881 treasure island.txt,m,b,Treasure Island,68319.0,n
3,Francis Marion Crawford,1882,1882 mr isaacs.txt,m,a,Mr. Isaacs,82513.0,n
4,Robert Louis Stevenson,1882,1882 the new arabian nights.txt,m,b,The New Arabian Nights,102366.0,n
5,Francis Marion Crawford,1883,1883 doctor claudius.txt,m,a,Doctor Claudius,101791.0,n
6,George Gissing,1884,1884 the unclassed.txt,m,b,The Unclassed,124922.0,n
7,Grant Allen,1884,1884 philistia.txt,m,c,Philistia,143694.0,n
8,Francis Marion Crawford,1884,1884 a roman singer.txt,m,a,A Roman Singer,96604.0,n
9,Mrs. Humphrey Ward,1884,1884 miss bretherton.txt,f,b,Miss Bretherton,57324.0,n
10,Robert Louis Stevenson,1884,1884 the black arrow.txt,m,b,The Black Arrow,79850.0,n
11,Henry Rider Haggard,1885,1885 king solomon's mines.txt,m,b,King Solomon’s Mines,82423.0,n
12,Francis Marion Crawford,1885,1885 zoroaster.txt,m,a,Zoroaster,77310.0,n
13,Francis Marion Crawford,1885,1885 the children of the king.txt,m,a,The Children of the King,61120.0,n
14,Robert Louis Stevenson,1885,1885 prince otto.txt,m,b,Prince Otto,62680.0,n
15,Hall Caine,1885,1885 the shadow of a crime.txt,m,b,The Shadow of a Crime,123977.0,n
16,George Augustus Moore,1885,1885 a mummer's wife.txt,m,b,A Mummer’s Wife,142687.0,n
17,Frances Burnett,1885,1885 little lord fauntleroy.txt,f,a,Little Lord Fauntleroy,58669.0,n
18,Robert Louis Stevenson,1886,1886 the strange case of dr jekyll and mr hyde.txt,m,b,The Strange Case of Dr. Jekyll and Mr. Hyde,25763.0,n
19,Marie Corelli,1886,1886 vendetta.txt,f,b,Vendetta,144414.0,n
20,Marie Corelli,1886,1886 the romance of two worlds.txt,f,b,The Romance of Two Worlds,99558.0,n
21,George Augustus Moore,1886,1886 muslin.txt,m,b,Muslin,94086.0,n
22,Jerome Kapla Jerome,1886,1886 idle thoughts of an idle fellow.txt,m,b,Idle Thoughts of an Idle Fellow,42106.0,n
23,Robert Louis Stevenson,1886,1886 kidnapped.txt,m,b,Kidnapped,82164.0,n
24,George Gissing,1886,1886 demos.txt,m,b,Demos,195675.0,n
25,Francis Marion Crawford,1886,1886 a tale of a lonely parish.txt,m,a,A Tale of a Lonely Parish,107246.0,n
26,Francis Marion Crawford,1887,1887 saracinesca.txt,m,a,Saracinesca,154520.0,n
27,Henry Rider Haggard,1887,1887 she.txt,m,b,She,113137.0,n
28,Frances Burnett,1887,1887 sara crowe.txt,f,a,Sara Crowe,66881.0,n
29,Robert Louis Stevenson,1887,1887 the merry men.txt,m,b,The Merry Men,80332.0,n
30,Francis Marion Crawford,1887,1887 marzio's crucifix.txt,m,a,Marzio’s Crucifix,57522.0,n
31,George Gissing,1887,1887 thyrza.txt,m,b,Thyrza,195303.0,n
32,Marie Corelli,1887,1887 thelma.txt,f,b,Thelma,205564.0,n
33,George Augustus Moore,1887,1887 a mere accident.txt,m,b,A Mere Accident,47695.0,n
34,Mrs. Humphrey Ward,1888,1888 robert elsmere.txt,f,b,Robert Elsmere,287990.0,n
35,George Gissing,1888,1888 a life's morning.txt,m,b,A Life’s Morning,141730.0,n
36,Henry Rider Haggard,1888,1888 mr meeson's will.txt,m,b,Mr Meeson’s Will,67617.0,n
37,Gertrude Atherton,1888,1888 what dreams may come.txt,f,a,What Dreams May Come,44409.0,n
38,Arthur Conan Doyle,1888,1888 a study in scarlet.txt,m,b,A Study in Scarlet,43542.0,n
39,George Augustus Moore,1888,1888 confessions of a young man.txt,m,b,Confessions of a Young Man,59560.0,n
40,George Augustus Moore,1888,1888 spring days.txt,m,b,Spring Days,99088.0,n
41,George Augustus Moore,1889,1889 mike fletcher.txt,m,b,Mike Fletcher,91214.0,n
42,George Gissing,1889,1889 the nether world.txt,m,b,The Nether World,160882.0,n
43,Henry Rider Haggard,1889,1889 cleopatra.txt,m,b,Cleopatra,102931.0,n
44,Francis Marion Crawford,1889,1889 greifenstein.txt,m,a,Greifenstein,153533.0,n
45,Arthur Conan Doyle,1889,1889 micah clarke.txt,m,b,Micah Clarke,178167.0,n
46,Jerome Kapla Jerome,1889,1889 three men in a boat.txt,m,b,Three Men in a Boat,67445.0,n
47,Marie Corelli,1889,1889 ardath.txt,f,b,Ardath,216533.0,n
48,Arthur Conan Doyle,1889,1889 the mystery of cloomber.txt,m,b,The Mystery of Cloomber,48880.0,n
49,Robert Louis Stevenson,1889,1889 the master of ballantrae.txt,m,b,The Master of Ballantrae,87499.0,n
50,Arthur Conan Doyle,1890,1890 the captain of the polestar.txt,m,b,The Captain of the Polestar,84491.0,n
51,Henry Rider Haggard,1890,1890 beatrice.txt,m,b,Beatrice,112327.0,n
52,Stanley John Weyman,1890,1890 the house of the wolf.txt,m,b,The House of the Wolf,56735.0,n
53,Arthur Conan Doyle,1890,1890 the firm of girdlestone.txt,m,b,The Firm of Girdlestone,137297.0,n
54,Hall Caine,1890,1890 the scapegoat.txt,m,b,The Scapegoat,101245.0,n
55,George Gissing,1890,1890 the emancipated.txt,m,b,The Emancipated,143716.0,n
56,Jerome Kapla Jerome,1891,1891 the diary of a pilgrimage.txt,m,b,The Diary of a Pilgrimage,41869.0,n
57,Arthur Conan Doyle,1891,1891 the white company.txt,m,b,The White Company,150866.0,n
58,Grant Allen,1891,1891 the great taboo.txt,m,c,The Great Taboo,75648.0,n
59,George Gissing,1891,1891 new grub street.txt,m,b,New Grub Street,186718.0,n
60,Francis Marion Crawford,1891,1891 the witch of prague.txt,m,a,The Witch of Prague,135647.0,n
61,Grant Allen,1891,1891 what's bred in the bone.txt,m,c,What’s Bred in the Bone,98820.0,n
62,Henry Rider Haggard,1891,1891 eric brighteyes.txt,m,b,Eric Brighteyes,108189.0,n
63,Henry Seton Merriman,1892,1892 from one generation to another.txt,m,b,From one Generation to Another,63622.0,n
64,Arthur Conan Doyle,1892,1892 the adventures of sherlock holmes.txt,m,b,The Adventures of Sherlock Holmes,104605.0,n
65,Irving Bacheller,1892,1892 the master of silence.txt,m,a,The Master of Silence,29981.0,n
66,Arthur Conan Doyle,1892,1892 the doing of raffles haw.txt,m,b,The Doing of Raffles Haw,38035.0,n
67,Henry Rider Haggard,1892,1892 nada the lily.txt,m,b,Nada the Lily,117377.0,n
68,Henry Seton Merriman,1892,1892 the slave of the lamp.txt,m,b,The Slave of the Lamp,74504.0,n
69,Arthur Conan Doyle,1892,1892 beyond the city.txt,m,b,Beyond the City,39536.0,n
70,Francis Marion Crawford,1892,1892 don orsino.txt,m,a,Don Orsino,151630.0,n
71,George Gissing,1892,1892 denzil quarrier.txt,m,b,Denzil Quarrier,80265.0,n
72,George Gissing,1892,1892 born in exile.txt,m,b,Born in Exile,158445.0,n
73,Stanley John Weyman,1893,1893 a gentleman of france.txt,m,b,A Gentleman of France,147623.0,n
74,Henry Rider Haggard,1893,1893 montezuma's daughter.txt,m,b,Montezuma’s Daughter,151275.0,n
75,Gilbert Parker,1893,1893 the trespasser.txt,m,c,The Trespasser,61101.0,n
76,Robert Louis Stevenson,1893,1893 an island night's entertainment.txt,m,b,An Island Night’s Entertainment,49307.0,n
77,Gilbert Parker,1893,1893 the trail of the sword.txt,m,c,The Trail of the Sword,55718.0,n
78,Gilbert Parker,1893,1893 mrs falchion.txt,m,c,Mrs. Falchion,91687.0,n
79,Grant Allen,1893,1893 michael's crag.txt,m,c,Michael’s Crag,34769.0,n
80,Jerome Kapla Jerome,1893,1893 novel notes.txt,m,b,Novel Notes,69145.0,n
81,Robert Barr,1893,1893 from whose bourne.txt,m,c,From Whose Bourne,29685.0,n
82,Kate Douglas Wiggin,1893,1893 penelope's english experiences.txt,f,a,Penelope’s English Experiences,31073.0,n
83,Kate Douglas Wiggin,1893,1893 polly oliver's problem.txt,f,a,Polly Oliver’s Problem,40338.0,n
84,George Gissing,1893,1893 the odd woman.txt,m,b,The Odd Woman,139284.0,n
85,Arthur Conan Doyle,1893,1893 the memoirs of sherlock holmes.txt,m,b,The Memoirs of Sherlock Holmes,87748.0,n
86,Arthur Conan Doyle,1893,1893 the refugees.txt,m,b,The Refugees,123033.0,n
87,George Augustus Moore,1894,1894 esther waters.txt,m,b,Esther Waters,111341.0,n
88,Robert Barr,1894,1894 in the midst of alarms.txt,m,c,In the Midst of Alarms,77778.0,n
89,Robert Barr,1894,1894 the face and the mask.txt,m,c,The Face and the Mask,71057.0,n
90,Henry Seton Merriman,1894,1894 with edged tools.txt,m,b,With Edged Tools,105724.0,n
91,Arthur Conan Doyle,1894,1894 round the red lamp.txt,m,b,Round the Red Lamp,68357.0,n
92,Stanley John Weyman,1894,1894 under the red robe.txt,m,b,Under the Red Robe,64697.0,n
93,Henry Rider Haggard,1894,1894 the people of the mist.txt,m,b,The People of the Mist,146115.0,n
94,Mrs. Humphrey Ward,1894,1894 marcella.txt,f,b,Marcella,249403.0,n
95,George Gissing,1894,1894 in the year of jubilee.txt,m,b,In the Year of Jubilee,131547.0,n
96,Henry Seton Merriman,1895,1895 the sowers.txt,m,b,The Sowers,106974.0,n
97,Henry Seton Merriman,1895,1895 the grey lady.txt,m,b,The Grey Lady,68755.0,n
98,Arthur Conan Doyle,1895,1895 the stark munro letters.txt,m,b,The Stark Munro Letters,77737.0,n
99,Stanley John Weyman,1895,1895 from the memoirs of a minister of france.txt,m,b,From the Memoirs of a Minister of France,73003.0,n
100,George Gissing,1895,1895 eve's ransom.txt,m,b,Eve’s Ransom,54986.0,n
101,Gilbert Parker,1895,1895 when valmond came to pontiac.txt,m,c,When Valmond Came to Pontiac,50780.0,n
102,George Gissing,1895,1895 the paying guest.txt,m,b,The Paying Guest,27070.0,n
103,Grant Allen,1895,1895 the woman who did.txt,m,c,The Woman who Did,45656.0,n
104,George Augustus Moore,1895,1895 vain fortune.txt,m,b,Vain Fortune,57834.0,n
105,Grant Allen,1895,1895 the british barbarians.txt,m,c,The British Barbarians,36761.0,n
106,Mrs. Humphrey Ward,1896,1896 sir george tressady 2.txt,f,b,Sir George Tressady (Vol. 2),171363.0,n
107,Kate Douglas Wiggin,1896,1896 the village watchtower.txt,f,a,The Village Watchtower,41737.0,n
108,Marie Corelli,1896,1896 ziska.txt,f,b,Ziska,59754.0,n
109,Henry Rider Haggard,1896,1896 the wizard.txt,m,b,The Wizard,60806.0,n
110,Mrs. Humphrey Ward,1896,1896 sir george tressady 1.txt,f,b,Sir George Tressady (Vol. 1),171363.0,n
111,Arthur Conan Doyle,1896,1896 rodney stone.txt,m,b,Rodney Stone,91194.0,n
112,Robert Barr,1896,1896 one day's courtship.txt,m,c,One Day’s Courtship,36273.0,n
113,Gilbert Parker,1896,1896 the seats of the mighty.txt,m,c,The Seats of the Mighty,127007.0,n
114,Gilbert Parker,1896,1896 the pomp of the lavilettes.txt,m,c,The Pomp of the Lavilettes,38289.0,n
115,Robert Barr,1896,1896 revenge!.txt,m,c,Revenge!,81258.0,n
116,Grant Allen,1897,1897 an african millionaire.txt,m,c,An African Millionaire,65848.0,n
117,Henry Seton Merriman,1897,1897 in kedar's tents.txt,m,b,In Kedar’s Tents,71873.0,n
118,Arthur Conan Doyle,1897,1897 uncle burnac.txt,m,b,Uncle Burnac,57675.0,n
119,Hall Caine,1897,1897 the christian.txt,m,b,The Christian,200268.0,n
120,George Gissing,1897,1897 the whirlpool.txt,m,b,The Whirlpool,164046.0,n
121,Gilbert Parker,1897,1897 the translation of a savage.txt,m,c,The Translation of a Savage,50647.0,n
122,Kate Douglas Wiggin,1897,1897 marm lisa.txt,f,a,Marm Lisa,38019.0,n
123,Henry Rider Haggard,1898,1898 doctor therne.txt,m,b,Doctor Therne,47898.0,n
124,Ralph Connor,1898,1898 black rock.txt,m,c,Black Rock,56424.0,n
125,Mrs. Humphrey Ward,1898,1898 helbeck of bannisdale 1.txt,f,b,Helbeck of Bannisdale (Vol. 1),137055.0,n
126,Jerome Kapla Jerome,1898,1898 the second thoughts of an idle fellow.txt,m,b,The Second Thoughts of an Idle Fellow,64146.0,n
127,Mrs. Humphrey Ward,1898,1898 helbeck of bannisdale 2.txt,f,b,Helbeck of Bannisdale (Vol. 2),137055.0,n
128,Kate Douglas Wiggin,1898,1898 penelope's experiences in scotland.txt,f,a,Penelope’s Experience in Scotland,58486.0,n
129,Gilbert Parker,1898,1898 the battle of the strong.txt,m,c,The Battle of the Strong,125433.0,n
130,George Augustus Moore,1898,1898 evelyn innes.txt,m,b,Evelyn Innes,178537.0,n
131,Gertrude Atherton,1898,1898 the valiant runaways.txt,f,a,The Valiant Runaways,46223.0,n
132,Henry Rider Haggard,1898,1898 swallow.txt,m,b,Swallow,107090.0,n
133,Stanley John Weyman,1898,1898 the castle inn.txt,m,b,The Castle Inn,110487.0,n
134,George Gissing,1898,1898 the town traveller.txt,m,b,The Town Traveller,64853.0,n
135,Edith Nesbit,1899,1899 the story of the treasure seekers.txt,f,b,The Story of the Treasure Seekers,53064.0,n
136,George Gissing,1899,1899 the crown of life.txt,m,b,The Crown of Life,120042.0,n
137,Robert Barr,1899,1899 a woman intervenes.txt,m,c,A Woman Intervenes,97796.0,n
138,Robert Barr,1899,1899 jennie baxter journalist.txt,m,c,"Jennie Baxter,Journalist",68536.0,n
139,Ralph Connor,1899,1899 the sky pilot.txt,m,c,The Sky Pilot,44835.0,n
140,Robert Barr,1899,1899 the strong arm.txt,m,c,The Strong Arm,96185.0,n
141,Grant Allen,1899,1899 hilda wade.txt,m,c,Hilda Wade,89009.0,n
142,Edith Wharton,1900,1900 the touchstone.txt,f,a,The Touchstone,27057.0,n
143,Emerson Hough,1900,1900 the girl at the halfway house.txt,m,a,The Girl at the Halfway House,84402.0,n
144,Gertrude Atherton,1900,1900 senator north.txt,f,a,Senator North,102389.0,n
145,Lyman Frank Baum,1900,1900 the wonderful wizard of oz.txt,m,a,The Wonderful Wizard of Oz,39467.0,n
146,Henry Rider Haggard,1900,1900 black heart and white heart.txt,m,b,Black Heart and White Heart,21744.0,n
147,Henry Seton Merriman,1900,1900 the isle of unrest.txt,m,b,The Isle of Unrest,74582.0,n
148,Irving Bacheller,1900,1900 eben holden.txt,m,a,Eben Holden,89045.0,n
149,Marie Corelli,1900,1900 the master christian.txt,f,b,The Master Christian,226736.0,n
150,Jerome Kapla Jerome,1900,1900 three men on the bummel.txt,m,b,Three Men on the Bummel,67410.0,n
151,Gertrude Atherton,1900,1900 the doomswoman.txt,f,a,The Doomswoman,50521.0,n
152,Gilbert Parker,1900,1900 an unpardonable liar.txt,m,c,An Unpardonable Liar,22032.0,n
153,Mrs. Humphrey Ward,1900,1900 eleanor.txt,f,b,Eleanor,148209.0,n
154,Frances Burnett,1901,1901 emily fox-setton.txt,f,a,Emily Fox-Setton,78363.0,n
155,Lyman Frank Baum,1901,1901 american fairy tales.txt,m,a,American Fairy Tales,31853.0,n
156,Edith Nesbit,1901,1901 the wouldbegoods.txt,f,b,The Wouldbegoods,78818.0,n
157,Stanley John Weyman,1901,1901 count hannibal.txt,m,b,Count Hannibal,110873.0,n
158,Ralph Connor,1901,1901 the man from glengarry.txt,m,c,The Man from Glengarry,117785.0,n
159,Gilbert Parker,1901,1901 the right of way.txt,m,c,The Right of Way,119275.0,n
160,Kate Douglas Wiggin,1901,1901 penelope's irish experiences.txt,f,a,Penelope’s Irish Experiences,71734.0,n
161,Irving Bacheller,1901,1901 d'ri and i.txt,m,a,D’ri and I,66165.0,n
162,Henry Seton Merriman,1901,1901 the velvet glove.txt,m,b,The Velvet Glove,73639.0,n
163,George Gissing,1901,1901 by the ionian sea.txt,m,b,By the Ionian Sea,40075.0,n
164,Francis Marion Crawford,1901,1901 marietta.txt,m,a,Marietta,117155.0,n
165,Henry Rider Haggard,1901,1901 lysbeth.txt,m,b,Lysbeth,157597.0,n
166,George Gissing,1901,1901 our friend the charlatan.txt,m,b,Our Friend the Charlatan,132161.0,n
167,George Augustus Moore,1901,1901 sister teresa.txt,m,b,Sister Teresa,114640.0,n
168,Lyman Frank Baum,1902,1902 the surprising adventures of the magical monarch of mo and his people.txt,m,a,The Surprising Adventures of the Magical Monarch of Mo and his People,32256.0,n
169,Marie Corelli,1902,1902 temporal power.txt,f,b,Temporal Power,202667.0,n
170,Jerome Kapla Jerome,1902,1902 paul kelver.txt,m,b,Paul Kelver,136854.0,n
171,Henry Seton Merriman,1902,1902 the vultures.txt,m,b,The Vultures,92658.0,n
172,Edith Wharton,1902,1902 the valley of decision.txt,f,a,The Valley of Decision,153878.0,n
173,Kate Douglas Wiggin,1902,1902 the diary of a goose girl.txt,f,a,The Diary of a Goose Girl,18528.0,n
174,Gertrude Atherton,1902,1902 the splindid idle forties.txt,f,a,The Splendid Idle Forties,86059.0,n
175,Ralph Connor,1902,1902 glengarry schooldays.txt,m,c,Glengarry Schooldays,59958.0,n
176,Edith Nesbit,1902,1902 five children and it.txt,f,b,Five Children and It,53634.0,n
